 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag L EV 16 | 4.05014e-05 / -4.05014e-05 | 8.7738e-05 / -8.7738e-05 | -0.000194788 / 0.000194788 | 0.000107557 / -0.000107557 | -0.000162989 / 0.000162989 | 0.0214767 / -0.0214767 | 0.00566784 / -0.00566784 | 0.000439018 / -0.000439018 | 0.0417527 / -0.0417527 | 0.00796393 / -0.00796393 | 0.00216514 / -0.00216514 | 0.000340879 / -0.000340879 | 0.000686467 / -0.000686467 | 0 / 0 | 0 / 0 | 0.000124067 / -0.000124067 | 0.00111306 / -0.00111306 |
 | b-tag extrap. | 0.000743389 / -0.000743389 | 0.0013037 / -0.0013037 | 0.000322521 / -0.000322521 | 0.00163117 / -0.00163117 | 0.000345409 / -0.000345409 | 9.12845e-05 / -9.12845e-05 | 0.0193201 / -0.0193201 | 0.000959575 / -0.000959575 | 0.000383228 / -0.000383228 | 0.0137809 / -0.0137809 | 0.00114504 / -0.00114504 | 0.00225192 / -0.00225192 | 0.0033429 / -0.0033429 | 0 / 0 | 0 / 0 | -0.000312507 / 0.000312507 | 0.000511438 / -0.000511438 |
 | b-tag extrap. from charm | 0.000164032 / -0.000164032 | 0.000162542 / -0.000162542 | -1.46627e-05 / 1.46627e-05 | 0.000479817 / -0.000479817 | 0.00020358 / -0.00020358 | 0.000216514 / -0.000216514 | 6.72638e-05 / -6.72638e-05 | -6.4671e-06 / 6.4671e-06 | 0.0222853 / -0.0222853 | 0.00771207 / -0.00771207 | 0.000821292 / -0.000821292 | 8.88109e-06 / -8.88109e-06 | -9.86755e-05 / 9.86755e-05 | 0 / 0 | 0 / 0 | -0.00014028 / 0.00014028 | 0.000140458 / -0.000140458 |
 | JVT uncertainty | 0.0100633 / -0.0100633 | 0.00955212 / -0.00955212 | 0.00924852 / -0.00924852 | 0.00687855 / -0.00687855 | 0.00790045 / -0.00790045 | 0.0113016 / -0.0113016 | 0.0107323 / -0.0107323 | 0.00960767 / -0.00960767 | 0.0107812 / -0.0107812 | 0.0108089 / -0.0108089 | 0.0108736 / -0.0108736 | 0.0104144 / -0.0104144 | 0.00883323 / -0.00883323 | 0 / 0 | 0 / 0 | 0.00536317 / -0.00536317 | 0.00990301 / -0.00990301 |
 | Electron E_{T} res. | 5.80251e-05 / -5.80251e-05 | 0.000179261 / -0.000179261 | 6.1065e-05 / -6.1065e-05 | -0.00010398 / 0.00010398 | -0.000295013 / 0.000295013 | 0.000257075 / -0.000257075 | 0.000227839 / -0.000227839 | 0.00210077 / -0.00210077 | 0.00125417 / -0.00125417 | -0.000471264 / 0.000471264 | 0.0007765 / -0.0007765 | 0.000277042 / -0.000277042 | -0.00017938 / 0.00017938 | 0 / 0 | 0 / 0 | 0.00155011 / -0.00155011 | -0.000961512 / 0.000961512 |
 | Electron E_{T} scale | 0.000184208 / -0.000184208 | 0.000323743 / -0.000323743 | 0.00036785 / -0.00036785 | 0.000531733 / -0.000531733 | 0.000226051 / -0.000226051 | 0.00043112 / -0.00043112 | 8.51452e-05 / -8.51452e-05 | 0.00177106 / -0.00177106 | 0.000363618 / -0.000363618 | 0.00327113 / -0.00327113 | -0.000256658 / 0.000256658 | -0.000594229 / 0.000594229 | 0.00238958 / -0.00238958 | 0 / 0 | 0 / 0 | 0.000395685 / -0.000395685 | 0.000382692 / -0.000382692 |
 | Muon ID p_{T} res. | 0.000189364 / -0.000189364 | -0.000127167 / 0.000127167 | -9.2566e-05 / 9.2566e-05 | 0.000133425 / -0.000133425 | -0.00027138 / 0.00027138 | 2.35438e-05 / -2.35438e-05 | -0.000427246 / 0.000427246 | 0.00176957 / -0.00176957 | 1.54972e-05 / -1.54972e-05 | -0.000578642 / 0.000578642 | -0.000366479 / 0.000366479 | -0.000263214 / 0.000263214 | 0.00100273 / -0.00100273 | 0 / 0 | 0 / 0 | -0.000388354 / 0.000388354 | -5.81443e-05 / 5.81443e-05 |
 | Muon MS p_{T} res. | -5.67436e-05 / 5.67436e-05 | -0.00015077 / 0.00015077 | 0.000245929 / -0.000245929 | -0.000106186 / 0.000106186 | 0.000110209 / -0.000110209 | -0.000265121 / 0.000265121 | 0.000245482 / -0.000245482 | -0.00115865 / 0.00115865 | -0.000452578 / 0.000452578 | 0.000306696 / -0.000306696 | 0.000832677 / -0.000832677 | -0.000150651 / 0.000150651 | -0.000118643 / 0.000118643 | 0 / 0 | 0 / 0 | -0.00025773 / 0.00025773 | 0.00104824 / -0.00104824 |
 | Muon p_{T} scale | -0.000196874 / 0.000196874 | -0.000146329 / 0.000146329 | -0.000281185 / 0.000281185 | -0.000131011 / 0.000131011 | -0.000185519 / 0.000185519 | -0.000475407 / 0.000475407 | -0.000424832 / 0.000424832 | -0.00132558 / 0.00132558 | -0.000499457 / 0.000499457 | -3.93391e-05 / 3.93391e-05 | -0.000171483 / 0.000171483 | -0.000321835 / 0.000321835 | 5.96046e-07 / -5.96046e-07 | 0 / 0 | 0 / 0 | -1.71065e-05 / 1.71065e-05 | -0.000913024 / 0.000913024 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Effective NP 1 | 0.0414448 / -0.0414448 | 0.0336345 / -0.0336345 | 0.0372573 / -0.0372573 | 0.0224904 / -0.0224904 | 0.0216903 / -0.0216903 | 0.0797549 / -0.0797549 | 0.070274 / -0.070274 | 0.0490029 / -0.0490029 | 0.0661721 / -0.0661721 | 0.0647642 / -0.0647642 | 0.0562451 / -0.0562451 | 0.0477791 / -0.0477791 | 0.0332961 / -0.0332961 | 0 / 0 | 0 / 0 | 0.00062567 / -0.00062567 | 0.0628121 / -0.0628121 |
 | Effective NP 2 | -0.0120386 / 0.0120386 | -0.0096336 / 0.0096336 | -0.00978482 / 0.00978482 | -0.00607899 / 0.00607899 | -0.0044401 / 0.0044401 | -0.0148187 / 0.0148187 | -0.0153576 / 0.0153576 | -0.00948712 / 0.00948712 | -0.0387844 / 0.0387844 | -0.0049552 / 0.0049552 | -0.00471419 / 0.00471419 | -0.0139045 / 0.0139045 | -0.0091956 / 0.0091956 | 0 / 0 | 0 / 0 | -4.00543e-05 / 4.00543e-05 | -0.0246911 / 0.0246911 |
 | Effective NP 3 | 0.00195718 / -0.00195718 | 0.00162998 / -0.00162998 | 0.000784129 / -0.000784129 | 0.00149578 / -0.00149578 | -9.67085e-05 / 9.67085e-05 | 0.00749141 / -0.00749141 | 0.00367013 / -0.00367013 | 0.00139928 / -0.00139928 | 0.010903 / -0.010903 | -0.00333309 / 0.00333309 | -0.00550219 / 0.00550219 | 0.00169823 / -0.00169823 | 0.00157568 / -0.00157568 | 0 / 0 | 0 / 0 | -0.000157326 / 0.000157326 | 0.00933281 / -0.00933281 |
