 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | b-tag extrap. | 0.00266417 / -0.00266417 | 0.00895708 / -0.00895708 | 0.00127141 / -0.00127141 | 0.00278969 / -0.00278969 | 0.00190225 / -0.00190225 | 1.58329e-05 / -1.58329e-05 | 0.0257916 / -0.0257916 | 0.00354278 / -0.00354278 | 0.000649871 / -0.000649871 | 0.0216921 / -0.0216921 | 0.00056181 / -0.00056181 | 0.00339721 / -0.00339721 | 0.00344529 / -0.00344529 | 0 / 0 | 0 / 0 | 0.0109679 / -0.0109679 | 0.00322344 / -0.00322344 |
 | b-tag extrap. from charm | 0 / 0 | 0 / 0 | 0.000959556 / -0.000959556 | 0.00117689 / -0.00117689 | 0.000709768 / -0.000709768 | 0.00130807 / -0.00130807 | 8.0742e-05 / -8.0742e-05 | 6.56391e-06 / -6.56391e-06 | 0.0520409 / -0.0520409 | 0.0116609 / -0.0116609 | 0.00111488 / -0.00111488 | 0 / 0 | 0.000820353 / -0.000820353 | 0 / 0 | 0 / 0 | -0.000217755 / 0.000217755 | 0 / 0 |
 | JVT uncertainty | 0.00548407 / -0.00548407 | 0.00380724 / -0.00380724 | 0.00479832 / -0.00479832 | 0.00279579 / -0.00279579 | 0.00260335 / -0.00260335 | 0.00881433 / -0.00881433 | 0.00791725 / -0.00791725 | 0.00947551 / -0.00947551 | 0.00887061 / -0.00887061 | 0.00832751 / -0.00832751 | 0.00900903 / -0.00900903 | 0.00933355 / -0.00933355 | 0.00157436 / -0.00157436 | 0 / 0 | 0 / 0 | -0.0083649 / 0.0083649 | 0.0075146 / -0.0075146 |
 | Electron E_{T} res. | 0 / 0 | -7.79626e-06 / 7.79626e-06 | 0.000370367 / -0.000370367 | -0.000744752 / 0.000744752 | -0.000145964 / 0.000145964 | 0.000482904 / -0.000482904 | -0.000299506 / 0.000299506 | -5.96957e-05 / 5.96957e-05 | -0.00148959 / 0.00148959 | -0.00181923 / 0.00181923 | -5.13444e-05 / 5.13444e-05 | -0.000131729 / 0.000131729 | 1.47666e-06 / -1.47666e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 1.84272e-08 / 1.84272e-08 |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | -0.00032545 / 0.00032545 | -0.000610106 / 0.000610106 | 0.000689509 / -0.000689406 | 0.000608492 / -0.000608492 | 0.000145812 / -0.000145812 | 7.4391e-05 / -7.4391e-05 | -0.000262006 / 0.000262006 | -0.000869472 / 0.000869472 | 6.85115e-05 / -6.84331e-05 | 0 / 0 | 4.83271e-06 / -4.83271e-06 | 0 / 0 | 0 / 0 | 0.000379233 / -0.000379233 | 9.35111e-05 / -9.35562e-05 |
 | Muon ID p_{T} res. | 0 / 0 | 0 / 0 | -0.000106579 / 0.000106678 | -0.000786868 / 0.000786868 | 0.000327561 / -0.000327561 | -3.81163e-05 / 3.81163e-05 | -8.3858e-05 / 8.3858e-05 | 5.48625e-06 / -5.48625e-06 | 3.17484e-05 / -3.17484e-05 | 4.14411e-05 / -4.14411e-05 | -5.48719e-07 / 5.48719e-07 | 0 / 0 | 3.69166e-06 / -3.69166e-06 | 0 / 0 | 0 / 0 | -5.98296e-06 / 5.98296e-06 | 1.16558e-06 / -1.21066e-06 |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | 2.36405e-06 / -2.36405e-06 | -0.000185479 / 0.000185479 | 0.000249021 / -0.000249021 | 0.000216578 / -0.000216578 | 6.24123e-05 / -6.24123e-05 | -0.00131187 / 0.00131187 | -0.000524497 / 0.000524497 | -0.0154617 / 0.0154617 | 1.63832e-05 / -1.63832e-05 | 0 / 0 | -2.8862e-05 / 2.8862e-05 | 0 / 0 | 0 / 0 | -5.98296e-06 / 5.98296e-06 | 1.84272e-08 / 1.84272e-08 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | -0.000423755 / 0.000423755 | -0.000238203 / 0.000238203 | -0.000156145 / 0.000156145 | -0.000322718 / 0.000322718 | -8.01921e-05 / 8.01921e-05 | -1.17563e-06 / 1.17563e-06 | 0.000535674 / -0.000535674 | 2.98105e-05 / -2.98105e-05 | 3.13554e-07 / -2.35165e-07 | 0 / 0 | -6.7121e-08 / 6.7121e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 1.84272e-08 / 1.84272e-08 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.84272e-08 / 1.84272e-08 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.84272e-08 / 1.84272e-08 |
 | Effective NP 1 | 0.138416 / -0.138416 | 0.024662 / -0.024662 | -0.00315157 / 0.00315157 | -0.00446704 / 0.00446704 | -0.00591906 / 0.00591906 | 0.0692871 / -0.0692871 | 0.0465145 / -0.0465145 | 0.0535337 / -0.0535337 | 0.0556354 / -0.0556354 | 0.0446499 / -0.0446499 | 0.0136026 / -0.0136026 | 0.0441616 / -0.0441616 | 0.0191781 / -0.0191781 | 0 / 0 | 0 / 0 | -0.0350287 / 0.0350287 | -0.103872 / 0.103872 |
