 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.69336e-16 / 1.69336e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.00115186 / 0.00115186 | -0.00113037 / 0.00113037 | -0.00021583 / 0.00021583 | -0.00171863 / 0.00171863 | 7.80141e-05 / -7.80141e-05 | -0.279867 / 0.279867 | -0.0646845 / 0.0646845 | -0.00686936 / 0.00686936 | -0.268339 / 0.268339 | -0.0492111 / 0.0492111 | -0.00204561 / 0.00204561 | -0.000605053 / 0.000605053 | -0.00499973 / 0.00499973 | 0.000338831 / -0.000338831 | 0 / 0 | 0 / 0 | -0.000446298 / 0.000446298 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.000750131 / -0.000750131 | 0.000498597 / -0.000498597 | 0.000287723 / -0.000287723 | 0.000523793 / -0.000523793 | -5.7587e-05 / 5.7587e-05 | 0.186034 / -0.186034 | 0.0488515 / -0.0488515 | -0.00146331 / 0.00146331 | 0.197518 / -0.197518 | 0.0492388 / -0.0492388 | 0.00175302 / -0.00175302 | 0.00140034 / -0.00140034 | 0.000458969 / -0.000458969 | 0.000147104 / -0.000147104 | 0 / 0 | 0 / 0 | -0.000517593 / 0.000517593 |
 | btag L EV 14 | -0.000908484 / 0.000908484 | -0.000763011 / 0.000763011 | -0.00023683 / 0.00023683 | -0.00112361 / 0.00112361 | -5.30778e-05 / 5.30778e-05 | -0.186716 / 0.186716 | -0.0423476 / 0.0423476 | -0.00452271 / 0.00452271 | -0.181303 / 0.181303 | -0.0278804 / 0.0278804 | 0.00391324 / -0.00391324 | -0.000377152 / 0.000377152 | -0.00242332 / 0.00242332 | 0.000395455 / -0.000395455 | 0 / 0 | 0 / 0 | -0.00096709 / 0.00096709 |
 | btag L EV 15 | -0.00027763 / 0.00027763 | -0.000188049 / 0.000188049 | -0.000102534 / 0.000102534 | -0.000233849 / 0.000233849 | -2.35237e-05 / 2.35237e-05 | -0.0413476 / 0.0413476 | -0.00964593 / 0.00964593 | -0.000240597 / 0.000240597 | -0.0498155 / 0.0498155 | -0.00654031 / 0.00654031 | -1.88456e-05 / 1.88456e-05 | -0.000122548 / 0.000122548 | -0.00153255 / 0.00153255 | 6.81221e-05 / -6.81221e-05 | 0 / 0 | 0 / 0 | -0.000275555 / 0.000275555 |
 | btag L EV 16 | 4.08681e-05 / -4.08681e-05 | 8.85233e-05 / -8.85233e-05 | -0.000196623 / 0.000196623 | 0.000108558 / -0.000108558 | -0.000164558 / 0.000164558 | 0.021721 / -0.021721 | 0.00572403 / -0.00572403 | 0.000443193 / -0.000443193 | 0.0423062 / -0.0423062 | 0.0080446 / -0.0080446 | 0.00218594 / -0.00218594 | 0.000344057 / -0.000344057 | 0.000692975 / -0.000692975 | 0.000125157 / -0.000125157 | 0 / 0 | 0 / 0 | -0.000489733 / 0.000489733 |
 | b-tag extrap. | 0.000748766 / -0.000748766 | 0.00131324 / -0.00131324 | 0.000324829 / -0.000324829 | 0.00164311 / -0.00164311 | 0.000347858 / -0.000347858 | 9.19559e-05 / -9.19559e-05 | 0.0194858 / -0.0194858 | 0.000966571 / -0.000966571 | 0.000385868 / -0.000385868 | 0.0138934 / -0.0138934 | 0.00115334 / -0.00115334 | 0.00226845 / -0.00226845 | 0.00336769 / -0.00336769 | -0.000314785 / 0.000314785 | 0 / 0 | 0 / 0 | 0.000632822 / -0.000632822 |
 | b-tag extrap. from charm | 0.000165606 / -0.000165606 | 0.000164011 / -0.000164011 | -1.48346e-05 / 1.48346e-05 | 0.000484329 / -0.000484329 | 0.000205412 / -0.000205412 | 0.000218486 / -0.000218486 | 6.79522e-05 / -6.79522e-05 | -6.45471e-06 / 6.45471e-06 | 0.0224924 / -0.0224924 | 0.0077842 / -0.0077842 | 0.000829019 / -0.000829019 | 9.02219e-06 / -9.02219e-06 | -9.96131e-05 / 9.96131e-05 | -0.000141583 / 0.000141583 | 0 / 0 | 0 / 0 | -0.000155753 / 0.000155753 |
 | JVT uncertainty | 0.0101661 / -0.0101661 | 0.0096496 / -0.0096496 | 0.00934275 / -0.00934275 | 0.0069485 / -0.0069485 | 0.00798074 / -0.00798074 | 0.0114172 / -0.0114172 | 0.0108419 / -0.0108419 | 0.00970562 / -0.00970562 | 0.0108912 / -0.0108912 | 0.0109193 / -0.0109193 | 0.0109846 / -0.0109846 | 0.0105207 / -0.0105207 | 0.00892317 / -0.00892317 | 0.0054176 / -0.0054176 | 0 / 0 | 0 / 0 | 0.0104703 / -0.0104703 |
 | Electron E_{T} res. | 5.8444e-05 / -5.8444e-05 | 0.000180467 / -0.000180467 | 6.15056e-05 / -6.15056e-05 | -0.000104559 / 0.000104559 | -0.000296953 / 0.000296953 | 0.000258792 / -0.000258792 | 0.000229137 / -0.000229137 | 0.00211487 / -0.00211487 | 0.00126248 / -0.00126248 | -0.000474359 / 0.000474359 | 0.000781718 / -0.000781718 | 0.000278838 / -0.000278838 | -0.000180603 / 0.000180603 | 0.0015606 / -0.0015606 | 0 / 0 | 0 / 0 | -0.000581138 / 0.000581138 |
 | Electron E_{T} scale | 0.000185485 / -0.000185485 | 0.000325849 / -0.000325849 | 0.000370266 / -0.000370266 | 0.000535325 / -0.000535325 | 0.000227523 / -0.000227523 | 0.000433954 / -0.000433954 | 8.57722e-05 / -8.57722e-05 | 0.00178296 / -0.00178296 | 0.000366005 / -0.000366005 | 0.00329303 / -0.00329303 | -0.000258358 / 0.000258358 | -0.000598216 / 0.000598216 | 0.0024056 / -0.0024056 | 0.000398284 / -0.000398284 | 0 / 0 | 0 / 0 | -0.000134225 / 0.000134225 |
 | Muon ID p_{T} res. | 0.000190647 / -0.000190647 | -0.000127954 / 0.000127954 | -9.32299e-05 / 9.32299e-05 | 0.000134323 / -0.000134323 | -0.000273158 / 0.000273158 | 2.37734e-05 / -2.37734e-05 | -0.000430095 / 0.000430095 | 0.00178141 / -0.00178141 | 1.56665e-05 / -1.56665e-05 | -0.000582446 / 0.000582446 | -0.000368991 / 0.000368991 | -0.000264961 / 0.000264961 | 0.00100933 / -0.00100933 | -0.000390846 / 0.000390846 | 0 / 0 | 0 / 0 | 0.000352582 / -0.000352582 |
 | Muon MS p_{T} res. | -5.71642e-05 / 5.71642e-05 | -0.000151715 / 0.000151715 | 0.000247554 / -0.000247554 | -0.000106925 / 0.000106925 | 0.000110936 / -0.000110936 | -0.000266968 / 0.000266968 | 0.000247226 / -0.000247226 | -0.00116649 / 0.00116649 | -0.00045557 / 0.00045557 | 0.000308751 / -0.000308751 | 0.000838292 / -0.000838292 | -0.000151597 / 0.000151597 | -0.000119429 / 0.000119429 | -0.000259439 / 0.000259439 | 0 / 0 | 0 / 0 | 0.000221452 / -0.000221452 |
 | Muon p_{T} scale | -0.000198198 / 0.000198198 | -0.000147231 / 0.000147231 | -0.000283015 / 0.000283015 | -0.00013189 / 0.00013189 | -0.000186723 / 0.000186723 | -0.000478605 / 0.000478605 | -0.000427626 / 0.000427626 | -0.00133444 / 0.00133444 | -0.000502865 / 0.000502865 | -3.96374e-05 / 3.96374e-05 | -0.000172614 / 0.000172614 | -0.000323949 / 0.000323949 | 5.75561e-07 / -5.75561e-07 | -1.72016e-05 / 1.72016e-05 | 0 / 0 | 0 / 0 | -0.000369773 / 0.000369773 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
